ID;Make;Model;Transmission;Gears;Horsepower;Torque;Fuel Type;Driveline;Year;
53;Bentley;Continental Supersports;AUTOMATIC;6;621;595.9;GASOLINE;FOUR;2010.10.15
54;Bentley;Continental Flying Spur;AUTOMATIC;6;552;483.79;E85;FOUR;2012.11.10
55;Bentley;Continental Flying Spur Speed;AUTOMATIC;6;600;558.53;GASOLINE;FOUR;2012.02.13
56;Bentley;Continental Flying Spur Speed;AUTOMATIC;6;600;558.53;GASOLINE;FOUR;2011.12.02
57;Bentley;Continental Flying Spur Speed;AUTOMATIC;6;600;558.53;GASOLINE;FOUR;2010.05.23
58;Bentley;Continental Flying Spur;AUTOMATIC;6;552;483.79;GASOLINE;FOUR;2010.05.21
59;Volvo;C70 T5;AUTOMATIC;5;227;238.36;GASOLINE;FRONT;2011.10.15
60;Volvo;C70 T5;MANUAL;6;227;238.36;GASOLINE;FRONT;2010.01.19
61;Volvo;C70 T5 AT;AUTOMATIC;5;227;238.36;GASOLINE;FRONT;2010.12.28
62;Volvo;S40 2.4i;MANUAL;5;168;171.7;GASOLINE;FRONT;2010.04.08
63;Volvo;S40 R-Design;AUTOMATIC;5;227;238.36;GASOLINE;FRONT;2010.12.28
64;Volvo;S40 T5;AUTOMATIC;5;227;238.36;GASOLINE;FRONT;2011.11.02
65;Volvo;S40 R-Design AWD;MANUAL;6;227;238.36;GASOLINE;FOUR;2010.06.24
66;Volvo;S60 T5;AUTOMATIC;6;250;268.66;GASOLINE;FRONT;2012.07.16
67;Volvo;S60 T6 AWD;AUTOMATIC;6;300;328.25;GASOLINE;FOUR;2012.03.01
68;Volvo;S60 R-Design;AUTOMATIC;6;325;357.54;GASOLINE;FOUR;2012.05.08
69;Volvo;S60 T6 AWD;AUTOMATIC;6;300;328.25;GASOLINE;FOUR;2011.11.05
70;Volvo;S80 3.2;AUTOMATIC;6;240;238.36;GASOLINE;FRONT;2011.09.06
71;Volvo;S80 V8;AUTOMATIC;6;311;328.25;GASOLINE;FOUR;2010.04.19
72;Volvo;S80 T6 AWD;AUTOMATIC;6;281;297.95;GASOLINE;FOUR;2010.02.15
73;Volvo;S80 3.2;AUTOMATIC;6;235;238.36;GASOLINE;FRONT;2010.09.23
74;Volvo;V50 T5;AUTOMATIC;5;227;238.36;GASOLINE;FRONT;2011.07.06
75;Volvo;V50 R-Design;MANUAL;6;227;238.36;GASOLINE;FOUR;2010.09.15
76;Volvo;V50 2.4i;AUTOMATIC;5;168;171.7;GASOLINE;FRONT;2010.09.08
77;Volvo;XC60 T6 AWD;AUTOMATIC;6;300;328.25;GASOLINE;FOUR;2011.04.23
78;Volvo;XC60 3.2;AUTOMATIC;6;240;238.36;GASOLINE;FRONT;2011.11.23
79;Volvo;XC60 T6 AWD;AUTOMATIC;6;281;297.95;GASOLINE;FOUR;2010.09.12
80;Volvo;XC60 3.2;AUTOMATIC;6;235;238.36;GASOLINE;FRONT;2010.04.05
81;Volvo;XC70 3.2;AUTOMATIC;6;240;238.36;GASOLINE;FRONT;2011.02.12
82;Volvo;XC70 T6 AWD;AUTOMATIC;6;300;328.25;GASOLINE;FOUR;2011.07.15
